Acceptor,Architecture,Construction ,SMILES,HOMO,LUMO,Gap,PCE,Voc,Joc
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,-0.187,-0.099,0.088,1.545,0.484,49.19
PC71BM,bulk,polymer,CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O,-0.203,-0.113,0.09,2.697,0.931,44.71
PC61BM,bulk,polymer,Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1,-0.189,-0.115,0.074,3.241,0.532,93.83
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,-0.173,-0.091,0.082,0.485,0.115,65.05
PC71BM,bulk,polymer,Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C,-0.186,-0.119,0.067,3.773,0.461,126.02
PC61BM,bulk,polymer,C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC,-0.194,-0.1,0.094,1.59,0.679,36.02
PC71BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,-0.185,-0.105,0.079,2.014,0.421,73.83
PC71BM,bulk,polymer,CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1,-0.275,-1.379,0.092,1.05,0.396,40.93
C60,bilayer,molecule,CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,-0.194,-0.119,0.076,3.86,0.681,87.17
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.188,-0.114,0.074,2.791,0.513,93.12
TiO2,DSSC,molecule,C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1,-0.196,-0.106,0.09,2.124,0.733,44.57
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.195,-0.11,0.086,2.557,0.708,55.55
PC61BM,bulk,polymer,Cc1cc[se]c1,-0.23,-0.02,0.21,0.0,1.659,0.0
PC71BM,bulk,polymer,Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1,-0.18,-0.093,0.087,0.99,0.296,51.43
PC61BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.176,-0.108,0.069,1.502,0.201,115.41
PC61BM,bulk,molecule,O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,-0.183,-0.105,0.078,1.923,0.384,77.16
PC71BM,bulk,polymer,COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,-0.184,-0.096,0.089,1.292,0.418,47.57
,,,Cc1csc(C=Cc2cccc3nsnc32)c1C,-0.201,-0.097,0.104,1.054,0.879,18.87
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,-0.181,-0.075,0.106,0.344,0.325,16.27
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1,-0.182,-0.103,0.079,1.723,0.357,74.57
PC61BM,bulk,molecule,Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1,-0.178,-0.095,0.083,0.99,0.244,62.54
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C,-0.183,-0.094,0.089,1.153,0.38,46.73
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,-0.176,-0.086,0.091,0.554,0.197,43.42
PC71BM,bulk,polymer,COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,-0.183,-0.103,0.081,1.773,0.392,69.61
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1,-0.237,-0.142,0.095,4.15,1.855,34.46
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1,-0.185,-0.114,0.071,2.999,0.43,107.4
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1,-0.185,-0.102,0.083,1.782,0.434,63.19
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,-0.18,-0.121,0.059,3.2,0.3,164.37
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C6=C(c7ccccc7)C(c7ccccc7)=C(c7ccc(-c8ccc(C9=S=CC=C9)s8)s7)[Si]6(C)C)s5)s4)s3)cc21,-0.171,-0.095,0.076,0.314,0.056,86.85
PC71BM,bulk,polymer,COCc1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,-0.188,-0.069,0.119,0.213,0.527,6.27
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)cc21,-0.194,-0.114,0.08,3.172,0.677,72.09
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3sc(-c4sc(-c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc21,-0.189,-0.095,0.094,1.249,0.545,35.6
TiO2,DSSC,molecule,CC1(C)CC(C=Cc2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)=CC(=C(C#N)C(=O)O)C1,-0.181,-0.102,0.079,1.597,0.33,74.69
PC61BM,bulk,polymer,COc1c2cc(C)sc2c(OC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc21,-0.191,-0.095,0.096,1.228,0.586,32.39
PC61BM,bulk,polymer,Cc1c2ccsc2c(C)c2cc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)sc21,-0.191,-0.117,0.075,3.604,0.61,91.03
PC61BM,bulk,polymer,CC(=O)c1cc2c(csc2-c2cc3c(s2)c(C)c2ccsc2c3C)s1,-0.195,-0.095,0.101,1.097,0.711,23.84
PC71BM,bulk,molecule,Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1cnc(-c2ncc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)s2)s1,-0.179,-0.088,0.092,0.736,0.276,41.2
PC71BM,bulk,polymer,Cc1nc(-c2nc(C)c(-c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)s2)sc1-c1cccs1,-0.183,-0.092,0.091,1.051,0.374,43.36
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.186,-0.096,0.09,1.355,0.459,45.42
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(C=Cc3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)c2ccc(OC)cc2)cc1,-0.181,-0.104,0.077,1.724,0.318,83.35
PC61BM,bulk,polymer,Cn1c2ccsc2c2sc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,-0.255,-0.104,0.076,1.644,0.295,85.95
PC71BM,bulk,molecule,Cc1nc(-c2nc(C)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.185,-0.076,0.109,0.388,0.438,13.64
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,-0.18,-0.105,0.075,1.728,0.298,89.21
PC61BM,bulk,polymer,c1csc(-c2cc(-c3cccs3)c(-c3cccs3)s2)c1,-0.198,-0.068,0.13,0.134,0.779,2.75
PC71BM,bulk,polymer,CN1c2ccccc2C(=C2c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3N(C)C2=O)C1=O,-0.192,-0.109,0.083,2.551,0.614,64.01
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.193,-0.104,0.089,2.019,0.657,47.3
PC61BM,bulk,molecule,COc1ccc(C=Cc2ccc(C=Cc3cc(C)c(C=Cc4ccc(C=Cc5cc(C)c(C=Cc6ccc(C=Cc7cc(C)c(C=O)cc7C)s6)cc5C)s4)cc3C)s2)cc1,-0.177,-0.101,0.076,1.093,0.203,86.11
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc2)c2ccc(OC)cc2)cc1,-0.187,-0.104,0.084,1.962,0.496,60.84
PC61BM,bulk,molecule,Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)c8ccccc8C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,-0.184,-0.114,0.07,2.877,0.41,108.35
PC61BM,bulk,polymer,CC(=O)c1sc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2c1F,-0.198,-0.097,0.101,1.175,0.778,23.26
PC61BM,bulk,polymer,Cc1cc2c3ccsc3c3sc(-c4ccc(-c5cnc(-c6cccs6)c6nsnc65)s4)cc3c2cc1C,-0.19,-0.116,0.074,3.444,0.57,92.96
PC61BM,bulk,polymer,COC(=O)c1sc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2c1F,-0.195,-0.092,0.103,0.946,0.711,20.84
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(C(=Cc3ccc(C=C(C#N)C(=O)O)s3)c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1,-0.181,-0.099,0.082,1.338,0.312,66.35
PC61BM,bulk,polymer,C=Cc1sccc1C(=O)OC,-0.228,-0.071,0.158,0.0,1.611,0.0
TiO2,DSSC,molecule,N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C(=O)O,-0.209,-0.095,0.114,0.612,1.087,8.67
PC71BM,bulk,polymer,COc1c2sccc2c2cc(-c3cc(C)c(-c4nc5sc(-c6sccc6C)nc5s4)s3)sc2c1OC,-0.189,-0.092,0.097,1.057,0.543,29.96
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c6ccc(-c7cc(C)c(-c8ccc(-c9sc(C=C(C#N)C(=O)OC)cc9C)s8)s7)cc6n(C)c5c4)cc3C)s2)s1,-0.193,-0.111,0.082,2.775,0.649,65.82
PC61BM,bulk,polymer,Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,-0.184,-0.096,0.088,1.288,0.409,49.8
PC71BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(C6=C7C(=O)N(C)C(c8cccs8)=C7C(=O)N6C)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.177,-0.104,0.073,1.294,0.205,97.3
PC71BM,bulk,polymer,COC(=O)c1cc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)s1,-0.192,-0.089,0.103,0.817,0.636,20.15
PC71BM,bulk,polymer,COc1ccsc1-c1sc(-c2scc3c2C(=O)N(C)C3=O)cc1OC,-0.187,-0.084,0.103,0.651,0.492,21.12
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4sc(-c5sccc5C)c5c4C(=O)N(C)C5=O)s3)sc21,-0.193,-0.09,0.102,0.882,0.644,21.38
PC61BM,bulk,polymer,Cc1nc2c3ccsc3c3sc(-c4ccc(-c5cnc(C6=S=CC=C6)c6nsnc65)s4)cc3c2nc1C,-0.193,-0.117,0.076,3.618,0.659,84.57
PC71BM,bulk,polymer,COc1cccc2c1ccc(-c1ccc(-c3ccc(-c4cccs4)c4nsnc43)s1)c2OC,-0.191,-0.104,0.087,2.003,0.596,51.75
PC61BM,bilayer,molecule,CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C#N)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,-0.194,-0.118,0.076,3.771,0.679,85.48
TiO2,DSSC,molecule,Cn1c2ccccc2c2cc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)ccc21,-0.227,-0.116,0.11,1.758,0.708,45.07
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nccnc45)s3)cc21,-0.196,-0.113,0.083,2.997,0.746,61.84
PC71BM,bulk,polymer,CC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,-0.191,-0.087,0.104,0.737,0.594,19.15
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)cc2)cc1,-0.19,-0.101,0.09,1.71,0.574,45.82
PC71BM,bulk,polymer,Cc1cc(-c2c3ccsc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)sc32)sc1C,-0.189,-0.111,0.078,2.734,0.533,79.03
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc2c(c1)C(C)(C)c1cc(N(c3ccccc3)c3cccc4ccccc43)ccc1-2,-0.19,-0.102,0.088,1.821,0.577,48.56
PC71BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21,-0.182,-0.101,0.081,1.598,0.358,68.78
TiO2,DSSC,molecule,C=Cc1ccc(N(c2ccccc2)c2ccc(C=C3SC(=S)N(CC(=O)O)C3=O)cc2)cc1,-0.181,-0.099,0.103,1.179,0.88,20.62
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,-0.174,-0.092,0.082,0.581,0.138,64.7
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)cc43)sc21,-0.189,-0.093,0.09,1.088,0.556,30.96
TiO2,DSSC,molecule,N#CC(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)s1)C(=O)O,-0.197,-0.108,0.089,2.313,0.75,47.45
TiO2,DSSC,molecule,N#CC(=CC=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)C(=O)O,-0.205,-0.088,0.085,1.277,0.819,20.31
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2c1=S=C(c1ccc(-c3sc(-c4nc(C)c(-c5cccs5)s4)nc3C)s1)C=2,-0.188,-0.095,0.093,1.243,0.512,37.59
C60,bulk,molecule,Cn1c2cc(C=C(C#N)C#N)sc2c2sc(C=C(C#N)C#N)cc21,-0.238,-0.146,0.092,4.917,1.876,40.33
,,,Cc1csc(C#Cc2cccc3nsnc32)c1C,-0.207,-0.1,0.107,1.018,1.027,15.26
PC71BM,bulk,polymer,Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(-c5nc6sc(-c7cccs7)nc6s5)s4)sc32)s1,-0.19,-0.096,0.094,1.339,0.564,36.58
PC71BM,bulk,polymer,CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3C4(C)C)c2C1=O,-0.2,-0.089,0.111,0.618,0.829,11.49
PC61BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3sc(C4=S=Cc5ccccc54)c4ccccc43)sc21,-0.18,-0.089,0.09,0.818,0.294,44.09
PC71BM,bulk,polymer,COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(OC)cc2)cc1,-0.186,-0.088,0.098,0.831,0.458,27.99
PC71BM,bulk,polymer,Cc1ccc(-c2c3sc4cc(-c5scc6cc(S(C)(=O)=O)sc65)sc4c3c(-c3ccc(C)s3)c3sc4ccsc4c32)s1,-0.192,-0.086,0.106,0.673,0.637,16.29
PC61BM,bulk,polymer,C#Cc1cc2c(s1)-c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1C2(C)C,-0.187,-0.103,0.084,1.901,0.489,59.9
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3scc4cc(C(C)=O)sc43)sc21,-0.193,-0.088,0.105,0.741,0.644,17.91
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)o3)cc2)cc1,-0.186,-0.094,0.092,1.227,0.459,41.15
PC61BM,bulk,molecule,CSc1ccc(-c2ccc(-c3csc(-c4cc(-c5ccc(-c6ccc(SC)s6)s5)sc4-c4sc(-c5ccc(-c6ccc(SC)s6)s5)cc4-c4ccc(-c5ccc(-c6ccc(SC)s6)s5)s4)c3)s2)s1,-0.189,-0.088,0.101,0.801,0.533,23.32
PC61BM,bulk,polymer,C=Cc1cc(OC)ccc1OC,-0.201,-0.038,0.163,0.0,0.869,0.0
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3sc(-c4nc(C)c(-c5sccc5C)s4)nc3C)s1)C=2,-0.187,-0.088,0.099,0.839,0.481,27.45
PC71BM,bulk,polymer,COc1c2ccsc2c(OC)c2cc(-c3scc4sc(C(C)=O)c(F)c43)sc21,-0.195,-0.096,0.099,1.208,0.714,26.62
TiO2,DSSC,molecule,CC1(C)c2cc(C=C(C#N)c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,-0.198,-0.118,0.08,3.703,0.795,71.69
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc4c(-c4ccc(-c5ccc(C)s5)s4)c4cc(-c5cc(C)c(-c6ccc(-c7sc(C=C8SC(=S)N(C)C8=O)cc7C)s6)s5)sc43)s2)s1,-0.185,-0.111,0.074,2.585,0.434,91.71
PC61BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6cccs6)c6nsnc65)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.18,-0.105,0.075,1.723,0.298,88.98
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nonc54)s3)cc21,-0.205,-0.126,0.078,4.899,0.972,77.57
PC61BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc32)c1,-0.185,-0.106,0.079,2.075,0.432,69.76
PC61BM,bulk,polymer,COc1ccc2c(c1)-c1cc(OC)c(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1[Si]2(C)C,-0.188,-0.103,0.086,1.887,0.528,55.31
TiO2,DSSC,molecule,Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,-0.193,-0.102,0.091,1.802,0.648,42.83
PC61BM,bulk,polymer,Cc1ccc(-c2nc3c(nc2-c2ccc(C)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1,-0.178,-0.101,0.077,1.304,0.244,82.39
PC61BM,bulk,polymer,CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C,-0.189,-0.105,0.084,2.113,0.543,59.9
PC71BM,bulk,polymer,Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1,-0.193,-0.09,0.102,0.891,0.642,21.43
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6cc7c(s6)c(OC)c6cc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(-c%11sc(-c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1,-0.182,-0.112,0.071,2.522,0.365,106.77
PC71BM,bulk,polymer,COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1,-0.183,-0.097,0.086,1.311,0.374,53.98
PC71BM,bulk,polymer,Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1,-0.19,-0.096,0.094,1.327,0.57,35.83
PC61BM,bulk,molecule,COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1,-0.18,-0.117,0.063,2.785,0.294,145.96
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1,-0.184,-0.103,0.081,1.874,0.419,68.78
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.188,-0.114,0.074,3.077,0.513,92.44
PC61BM,bulk,polymer,Cc1ccsc1-c1cc(C)c(-c2ccc(-c3cc(C)c(C4=S=C(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)C(C)=C4)s3)c3nsnc32)s1,-0.18,-0.102,0.078,1.488,0.292,79.53
PC71BM,bulk,polymer,C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21,-0.2,-0.103,0.097,1.644,0.842,30.1
TiO2,DSSC,molecule,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)cc1,-0.183,-0.102,0.081,1.687,0.383,67.74
PC71BM,bulk,polymer,COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1,-0.187,-0.083,0.105,0.592,0.5,18.24
TiO2,DSSC,molecule,CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21,-0.195,-0.106,0.088,2.19,0.694,48.56
PC61BM,bulk,molecule,C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34,-0.186,-0.101,0.086,1.673,0.461,55.81
